,epoch_0,epoch_1,epoch_11,epoch_21,epoch_31,epoch_41,epoch_51,epoch_61,epoch_71,epoch_81,epoch_91,epoch_101,epoch_111,epoch_121,epoch_131,epoch_141,epoch_151,epoch_161,epoch_171,epoch_181,epoch_191,epoch_201,epoch_211,epoch_221,epoch_231,epoch_241,epoch_251,epoch_261,epoch_271,epoch_281,epoch_291,epoch_301,epoch_311,epoch_321,epoch_331,epoch_341,epoch_351,epoch_361,epoch_371,epoch_381,epoch_391,epoch_401,epoch_411,epoch_421,epoch_431,epoch_441,epoch_451,epoch_461,epoch_471,epoch_481,epoch_491,epoch_501
layer_0,0.999999988,0.999894516,0.998901712,0.997635879,0.995659343,0.993311419,0.991055233,0.98866579,0.986223947,0.983737487,0.981140842,0.978568029,0.97605112,0.973505732,0.970721876,0.968022087,0.96537304,0.962725199,0.960303525,0.95792366,0.95550949,0.953296935,0.951239289,0.949209826,0.947346789,0.945547053,0.943852585,0.942207529,0.940693275,0.939214248,0.937820735,0.936506409,0.935295548,0.934152048,0.933107079,0.932118267,0.931245144,0.930396436,0.929607307,0.928799036,0.928131133,0.927488262,0.926929914,0.926467117,0.926037275,0.925674963,0.925366194,0.925120645,0.924924759,0.924788477,0.924709948,0.924687361
layer_1,0.999999986,0.999811007,0.998097765,0.996487767,0.994045351,0.991146199,0.987885936,0.984052793,0.980284312,0.976504567,0.973094321,0.969375698,0.965625937,0.961812308,0.95758416,0.95376643,0.950147936,0.946561187,0.943353014,0.939720851,0.936483051,0.933640309,0.930650964,0.928003091,0.925301928,0.922850208,0.920245968,0.917937494,0.915731236,0.913565862,0.911786607,0.909985357,0.908304399,0.906838923,0.905300076,0.903958232,0.902659806,0.901469242,0.900438108,0.899457464,0.898583227,0.89776474,0.897056268,0.896371654,0.895821919,0.895295598,0.894902245,0.894607021,0.894340941,0.894156038,0.894053524,0.894028186
layer_2,0.999999984,0.999268334,0.99749514,0.994261443,0.990684634,0.98624523,0.981302033,0.976277989,0.971230527,0.965896497,0.960763055,0.955259864,0.950322319,0.944922235,0.939394912,0.93374835,0.927990482,0.92313335,0.918446718,0.913924836,0.909555167,0.905126767,0.901041653,0.897205777,0.893636813,0.889971513,0.886611052,0.883504611,0.880578742,0.877780771,0.875264559,0.872902167,0.870732017,0.868919735,0.86683345,0.864898012,0.863165608,0.861746559,0.860401188,0.858981002,0.857841277,0.856783752,0.855875433,0.855008169,0.854268268,0.853613397,0.853111635,0.852724527,0.852404022,0.852167005,0.85203163,0.851984598
layer_3,0.999999981,0.999433541,0.995350836,0.989548858,0.984935697,0.978799412,0.971955908,0.965200198,0.958519645,0.951010095,0.943802375,0.936805555,0.929394449,0.921001889,0.912437671,0.901993514,0.892856867,0.885453863,0.878767154,0.872120867,0.865898281,0.85992353,0.854429118,0.849623021,0.844767403,0.84016717,0.835887139,0.832026307,0.82848719,0.824983226,0.821669213,0.818880859,0.816267367,0.813843726,0.811449234,0.809348837,0.807157517,0.805337018,0.803806584,0.802121875,0.80078155,0.799579307,0.798399471,0.797452119,0.79659974,0.795793151,0.79515179,0.794698612,0.794343687,0.794046155,0.793893983,0.79385195
layer_4,0.999999978,0.998962595,0.992744208,0.985089143,0.976407849,0.967699299,0.958653845,0.94951167,0.940275803,0.93070243,0.921450885,0.911912068,0.901644359,0.88967888,0.877665029,0.863976844,0.852379307,0.842817791,0.834833609,0.826642371,0.819128452,0.81204816,0.805523995,0.799428681,0.793676457,0.788424709,0.783131725,0.778452441,0.774488305,0.77047669,0.766416567,0.76325005,0.760299388,0.757469082,0.754942843,0.75273546,0.750256422,0.748185937,0.746580118,0.744591451,0.743050992,0.741851057,0.740547225,0.739574664,0.738684061,0.737763711,0.737124961,0.736627407,0.73626724,0.735939834,0.735794252,0.735754034
layer_5,0.999999975,0.998133112,0.989951198,0.976607262,0.96528533,0.953213652,0.94086666,0.928564883,0.916786772,0.904412552,0.892506547,0.879213842,0.866033294,0.850533141,0.834759213,0.818119832,0.804287003,0.793089309,0.783630838,0.774600702,0.765627773,0.757326746,0.749481713,0.742799929,0.736132622,0.730096554,0.724446777,0.719415919,0.715124818,0.711060646,0.706597945,0.703236254,0.700137675,0.697256633,0.694615268,0.692361771,0.689751762,0.687651665,0.686084168,0.6840434,0.682447408,0.681218519,0.679813635,0.678916383,0.678021973,0.677124325,0.676530283,0.676017375,0.675606254,0.675279865,0.675144354,0.675112266
layer_6,0.999999971,0.998250674,0.984982845,0.966770942,0.95111417,0.934976677,0.919576402,0.903796358,0.889058957,0.873020962,0.858383893,0.841760151,0.826166505,0.80661171,0.787077174,0.767735975,0.75208599,0.739629941,0.729464948,0.719585701,0.709832696,0.7002988,0.692095357,0.684696824,0.677757313,0.671413097,0.665728925,0.660690231,0.656028153,0.652012268,0.647344397,0.643848503,0.640868235,0.638120591,0.635442791,0.633364148,0.630683673,0.628691249,0.627150636,0.625244657,0.623724644,0.622697851,0.621326178,0.620501737,0.619646123,0.618757737,0.618272897,0.617785081,0.617386456,0.61707603,0.616975689,0.616951316
layer_7,0.999999968,0.997820709,0.979018322,0.954340225,0.93457358,0.912841734,0.892604115,0.87250373,0.854318568,0.835026128,0.817689082,0.799553238,0.781168223,0.759019425,0.737178445,0.716633556,0.700659284,0.6878169,0.677663653,0.667208628,0.657515687,0.648007293,0.63998571,0.632948914,0.626146195,0.619939466,0.614620367,0.609688104,0.605149444,0.601512715,0.597035736,0.593649862,0.590943318,0.588374177,0.585972046,0.584086707,0.581485765,0.579830661,0.578353948,0.576593834,0.575218874,0.574337739,0.573067542,0.572338577,0.571505614,0.570733916,0.570299642,0.569905522,0.569525743,0.569246117,0.569178587,0.569151556
layer_8,0.999999964,0.997840262,0.97081096,0.939370825,0.914778744,0.887690548,0.862657749,0.837890587,0.815122932,0.792856589,0.773544882,0.753462073,0.733291493,0.709096528,0.685880856,0.665411021,0.650021227,0.637288049,0.627650788,0.61771225,0.608448533,0.59911983,0.591935467,0.58516729,0.578871018,0.573017249,0.568028988,0.563355528,0.55909432,0.55569663,0.551572378,0.548486849,0.545959122,0.54378381,0.541824039,0.540227935,0.53799433,0.536663805,0.535387621,0.533823314,0.532666893,0.531916828,0.530840031,0.530318065,0.529624651,0.528952365,0.528663409,0.528367249,0.528029327,0.527788106,0.527765696,0.527743677
layer_9,0.99999996,0.997998806,0.962166987,0.92418069,0.893373888,0.861096548,0.832663681,0.804899658,0.780677813,0.756839783,0.737292436,0.716078607,0.695746196,0.670452004,0.646512056,0.62668655,0.611737337,0.59917156,0.590060488,0.580475959,0.571501809,0.562518509,0.555778903,0.549483191,0.543559941,0.538036609,0.533281665,0.528828154,0.524739671,0.521555744,0.517544677,0.514581347,0.512152715,0.510140487,0.508424824,0.506976947,0.504773933,0.503683621,0.502410825,0.500916665,0.499885052,0.499133826,0.498123765,0.497649222,0.497072019,0.496396275,0.496209836,0.495923487,0.495625365,0.495402836,0.495390868,0.495372042
layer_10,0.999999957,0.997409017,0.952200761,0.904812033,0.870324147,0.834298572,0.802224687,0.771235459,0.746975498,0.722595021,0.702287785,0.681191768,0.660751503,0.63573633,0.612813787,0.594203182,0.57990459,0.567863021,0.55936141,0.550204087,0.54199955,0.533311385,0.526850524,0.520951528,0.515204574,0.509766696,0.505202855,0.500891018,0.496953323,0.493944359,0.489992958,0.487129378,0.484819396,0.482883751,0.481127541,0.479640571,0.477607983,0.476525737,0.475212192,0.473928164,0.472803036,0.472173673,0.471228609,0.470736321,0.470192689,0.469581787,0.469406887,0.469149594,0.468843287,0.468613077,0.468607146,0.46859144
layer_11,0.999999954,0.99616832,0.941287137,0.889454713,0.851396081,0.812203675,0.777187453,0.744202799,0.71783705,0.692547813,0.672248946,0.650603659,0.630528817,0.606197436,0.584220222,0.566308254,0.553016826,0.541197158,0.533069623,0.524136924,0.516210571,0.507850408,0.501785831,0.495994353,0.490546904,0.485230544,0.480805757,0.476622572,0.472765985,0.469825903,0.466080089,0.46325489,0.460970396,0.459108753,0.457417969,0.455970779,0.454140866,0.453010848,0.451722772,0.450501306,0.449381811,0.448761792,0.447809847,0.447241087,0.44673956,0.446130113,0.445972729,0.445669663,0.445347378,0.445138891,0.445135957,0.445117173
layer_12,0.999999949,0.996794823,0.930698131,0.875307925,0.833895258,0.792470521,0.75641981,0.722648446,0.695787909,0.670192678,0.649302956,0.627758636,0.607885754,0.583778066,0.562617054,0.545566748,0.532602694,0.520986273,0.513407738,0.504766378,0.497170959,0.489102736,0.482948661,0.477556947,0.472078421,0.466916377,0.462576249,0.458354386,0.454654055,0.451663133,0.448067295,0.445205015,0.44304931,0.441108445,0.439414062,0.437914012,0.436072815,0.435000648,0.433757513,0.432576326,0.431430317,0.430679852,0.429808397,0.429260948,0.428734138,0.428133733,0.42795528,0.427622458,0.427314255,0.42707984,0.427070807,0.427060947